1.00000000e+00,4.21000000e+02,7.27840689e-02
1.00000000e+00,4.74000000e+02,-4.41126078e-01
1.,349.,0.39811951
1.,490.,-2.92982807
1.,39.,2.44825278
1.,2.,-1.92366182
1.,197.,-1.57442347
1.,430.,-1.12235981
1.,26.,1.28965569
1.0000000e+00,3.9800000e+02,-2.5033789e-01
1.00000000e+00,2.97000000e+02,-9.42549936e-02
1.,459.,1.54012776
1.,257.,0.59310795
1.,496.,0.88211156
1.,172.,-1.57329444
1.,36.,0.68028736
1.,215.,0.42490332
1.,231.,0.26215822
1.,270.,0.46882482
1.,213.,1.56881376
2.,369.,-0.54893104
2.,445.,-0.77996935
2.,498.,-0.6222419
2.,392.,-1.91643877
2.,440.,0.71640873
2.,455.,-1.37030503
2.,184.,-0.58535686
2.,221.,0.28064089
2.,349.,-0.38921644
2.,223.,-1.38325258
2.,137.,-0.20576775
2.,359.,2.60061598
2.,382.,-1.49754741
2.,309.,1.72939277
2.,7.,0.40545691
2.00000000e+00,4.34000000e+02,-1.70361545e-01
2.,18.,-0.86008228
2.,449.,1.40251709
2.,175.,0.78616656
2.,190.,-0.29242911
3.,51.,-2.89526197
3.,258.,-2.46408709
3.,113.,0.6939212
3.,425.,0.78652147
3.,33.,-1.51071697
3.,435.,1.27368651
3.,454.,1.62788639
3.00000000e+00,2.92000000e+02,-2.77098368e-01
3.,370.,-0.69445923
3.,436.,-0.47290559
3.,491.,2.81059883
3.,235.,-2.8725594
3.00000000e+00,4.43000000e+02,-2.50716168e-01
3.00000000e+00,2.93000000e+02,1.04394575e-01
3.,498.,1.28773856
3.,456.,2.6302781
3.,347.,-2.40403077
3.,311.,0.76246674
3.,371.,0.67481742
3.,143.,-2.62864879
4.00000000e+00,4.63000000e+02,-2.54780097e-01
4.,356.,0.47567301
4.,15.,0.11008906
4.,398.,-1.92664372
4.,27.,0.99126651
4.00000000e+00,4.88000000e+02,-1.54508959e-02
4.,54.,1.22207792
4.,252.,0.94355973
4.,93.,-0.93497042
4.,380.,-1.00085367
4.,112.,0.81169453
4.,243.,0.42359874
4.,359.,-1.09175403
4.00000000e+00,4.44000000e+02,6.35822377e-02
4.,251.,1.99112284
4.00000000e+00,2.75000000e+02,3.88486639e-02
4.00000000e+00,4.27000000e+02,3.34433549e-01
4.00000000e+00,4.23000000e+02,1.78186471e-01
4.00000000e+00,2.33000000e+02,-5.20699788e-02
4.,472.,-1.29071695
5.00000000e+00,4.42000000e+02,-5.13284644e-02
5.,466.,1.02007361
5.,162.,0.92278592
5.,23.,1.51392532
5.,173.,0.59510344
5.,174.,-1.44726286
5.0000000e+00,3.1100000e+02,-8.5993963e-02
5.,374.,0.78493693
5.,171.,0.19006645
5.,363.,0.8457612
5.,60.,0.15858025
5.,393.,2.47717661
5.,281.,-0.42967837
5.,32.,-1.30798186
5.,461.,-1.57542443
5.,494.,0.64072066
5.,447.,-1.0334159
5.,178.,0.5093319
5.,308.,3.61287896
5.00000000e+00,4.70000000e+02,3.38030242e-01
6.,158.,-1.24912075
6.,148.,-1.50358521
6.,169.,1.53001939
6.,106.,-0.57281275
6.,86.,3.10861492
6.00000000e+00,3.86000000e+02,-2.74343937e-02
6.,274.,-1.44652121
6.0000000e+00,3.0000000e+02,-8.5694165e-02
6.00000000e+00,4.12000000e+02,3.24603836e-01
6.00000000e+00,3.35000000e+02,-1.35509917e-01
6.,233.,-0.27429572
6.,279.,-0.28892021
6.,236.,-0.33432675
6.,192.,-2.49047551
6.,170.,1.01016941
6.,91.,0.70197871
6.,296.,0.7469802
6.,52.,-0.85911815
6.,183.,-1.202638
6.,205.,0.94627732
7.0000000e+00,3.0100000e+02,-1.1684173e-02
7.,40.,0.22451183
7.,50.,1.91591082
7.,367.,1.51292909
7.,122.,-0.35153942
7.,120.,0.47236409
7.,1.,0.15782148
7.,332.,0.92802055
7.,170.,0.39968106
7.,158.,-1.58770443
7.,195.,0.33901921
7.,398.,-1.58088097
7.,357.,-0.41730777
7.,126.,-0.411896
7.00000000e+00,1.09000000e+02,-3.45694901e-02
7.00000000e+00,2.61000000e+02,-1.32826832e-01
7.00000000e+00,8.60000000e+01,-3.68741117e-02
7.00000000e+00,4.43000000e+02,-8.87090783e-02
7.,146.,2.31723618
7.,47.,2.02585198
8.00000000e+00,4.82000000e+02,-4.74410441e-01
8.,209.,-0.32434201
8.,89.,1.56243549
8.,488.,-1.1316252
8.,268.,1.64934811
8.,379.,-0.9848024
8.,253.,-1.3926609
8.,147.,-0.86619063
8.,199.,0.78233024
8.00000000e+00,3.72000000e+02,-2.17423972e-01
8.00000000e+00,4.29000000e+02,-2.03969256e-01
8.,110.,-0.15245553
8.,105.,-0.9630711
8.,251.,-0.85301988
8.,174.,-0.63929851
8.,270.,0.43601368
8.,271.,1.7390791
8.,22.,-0.51819899
8.,298.,-2.15634758
8.,114.,-1.36981379
9.00000000e+00,3.86000000e+02,-1.63332942e-01
9.,469.,1.75458428
9.,183.,0.22731125
9.,196.,-0.53333422
9.,85.,-1.75200886
9.,420.,-0.42696262
9.00000000e+00,2.93000000e+02,2.44157044e-01
9.,67.,0.38477976
9.,341.,-0.37253508
9.,137.,0.27122942
9.,229.,1.50685011
9.,200.,1.31430107
9.,63.,1.19355809
9.,8.,0.6688096
9.,323.,-1.1243747
9.,417.,2.27871668
9.00000000e+00,2.37000000e+02,2.21937126e-01
9.,349.,1.71697269
9.,93.,-0.47231283
9.,302.,-1.39119679
10.,42.,0.90270373
10.,381.,0.80424569
1.00000000e+01,4.64000000e+02,2.60299191e-01
10.,317.,0.38432901
1.00000000e+01,4.22000000e+02,3.51907227e-01
10.,127.,-0.33254255
10.,26.,-0.21415208
10.,3.,-1.36669208
10.,4.,-0.01655235
1.00000000e+01,3.85000000e+02,-2.66080471e-01
10.,28.,-0.64674016
10.,131.,0.32389456
10.,372.,0.63295941
10.,315.,-1.06622558
1.00000000e+01,4.87000000e+02,4.21354671e-01
10.,41.,-0.23785116
10.,428.,1.5386194
10.,148.,1.00866293
10.,229.,-1.48041752
10.,288.,0.38899155
11.,413.,-1.3297452
11.,201.,-0.66510009
11.,369.,-0.71037542
11.,417.,0.74106929
1.10000000e+01,1.60000000e+02,6.53919923e-02
11.,291.,-2.30143743
11.,408.,1.3658788
11.,497.,-0.52597118
11.,358.,0.52816962
11.,215.,-0.57304671
11.,213.,0.64635659
11.,61.,1.16448614
11.,133.,-0.45136273
1.10000000e+01,3.54000000e+02,2.16971681e-01
11.,440.,-0.71971646
11.,212.,0.44109231
11.,13.,-1.27572547
11.,269.,-0.39211309
11.,229.,-1.01364734
11.,433.,1.35720502
12.,212.,-0.55067694
12.,81.,-0.61979113
12.,391.,0.94434892
12.,149.,-1.26862965
12.,313.,-1.28762882
1.20000000e+01,2.94000000e+02,-9.62462875e-02
1.20000000e+01,2.17000000e+02,-9.49049124e-02
12.,357.,-1.08320084
12.,128.,-0.24752947
12.,147.,1.11505528
12.,28.,0.52719181
12.,66.,-1.02434686
12.,203.,0.51755997
12.,279.,0.34264753
12.,32.,-0.68292887
12.,396.,0.69239158
12.,285.,-0.61382256
12.,25.,1.19771546
